ФИО,№ стипендии,Тема,Организация
Васильев Евгений Викторович,СП-2241.2016.1,Повышение энергоэффективности авиационного и космического транспорта,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тольяттинский государственный университет»
Васильченко Данила Борисович,СП-658.2016.1,Молекулярный дизайн активных центров катализаторов на основе полиядерных комплексов платиновых металлов,Федеральное государственное бюджетное учреждение науки Институт неорганической химии им. А.В. Николаева Сибирского отделения Российской академии наук
Вдовин Максим Игоревич,СП-1740.2016.1,"Исследование динамики аэро- и гидрофизических процессов в пограничных слоях атмосферы и гидросферы, в рамках натурных экспериментов, лабораторного и численного моделирования для нужд развития альтернативной энергетики в прибрежной зоне.",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Велигжанин Алексей Александрович,СП-982.2016.1,Анализ особенностей многомасштабной структуры функциональных материалов с использованием взаимодополняющих синхротронных структурных методов,"Федеральное государственное бюджетное учреждение ""Национальный исследовательский центр ""Курчатовский институт"""
Веселовская Жанна Вячеславовна,СП-3321.2016.1,Разработка сорбционно-каталитического метода получения метана из атмосферного углекислого газа	,Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук»
Виноградова Катерина Александровна,СП-3141.2016.1,Синтез и исследование люминесцирующих комплексов Cu(I) c производными диазинов и фосфинов. Термохромизм и механохромизм люминесценции многоядерных соединений Cu(I). Люминесценция наночастиц комплексов Cu(I),Федеральное государственное бюджетное учреждение науки Институт неорганической химии им. А.В. Николаева Сибирского отделения Российской академии наук
Волков Александр Владимирович,СП-1327.2016.1,Решение задачи о нестационарном прогреве неоднородного слоя и полого многослойного цилиндра в градиентной модели пористых сред.,Федеральное государственное бюджетное учреждение науки Институт прикладной механики Российской академии наук
Волков Александр Геннадьевич,СП-158.2016.1,"Разработка энергоэффективных автономных систем генерирования электрической энергии для ветроэнергетических установок наземного назначения, на базе многозонных конверторов с использованием микропроцессорных систем управления на базе ПЛИС",Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный технический университет»
Воловликова Ольга Вениаминовна <i>(Пятилова)</i>,СП-1969.2016.1,Разработка основ технологии формирования кремниевых 3D структур в качестве функционального материала для бета-вольтаических источников питания,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»
Волхонский Алексей Олегович,СП-311.2016.1,"Разработка износостойких, самоадаптирующихся к меняющимся условиям трения покрытий, снижающих потери энергии при применении на парах-трения",Федеральное государственное автономное образовательное учреждение высшего образования “Национальный исследовательский технологический университет «МИСиС»
Воротынцев Андрей Владимирович,СП-253.2016.1,Физико-химические основы создания новых высокоселективных каталитических систем для процессов получения высокочистого кремния и германия для микро- и наноэлектронной промышленности,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"""
Гаврилин Илья Михайлович,СП-92.2016.1,Разработка принципов управления электрофизическими и электрохимическими свойствами пористого анодного оксида титана для создания приборов генерации и хранения энергии.,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»
Гладких Виталий Александрович,СП-2627.2016.1,Разработка энергоэффективной технологии сероасфальтобетона для дорожного строительства,Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Московский государственный строительный университет»
