ФИО,№ стипендии,Тема,Организация
Бубнов Григорий Михайлович,СП-5103.2018.3,Исследование астроклимата миллиметрового диапазона длин волн на архипелаге Шпицберген и развитие адаптивных методов обработки данных о состоянии атмосферы,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"""
Бугакова Анна Витальевна,СП-475.2018.3,"Разработка и исследование новых методов повышения быстродействия микромощных BiJT, BiJFet, КМОП операционных усилителей и их практических приложений в космическом приборостроении для устройств аналогового и аналого-цифрового преобразования сигналов",Федеральное государственное бюджетное образовательное учреждение высшего образования «Донской государственный технический университет»
Бутырлагин Николай Владимирович,СП-477.2018.3,Разработка и исследование новых структур и перспективных схемотехнических решений мультидифференциальных операционных усилителей напряжений и токов на основе активной отрицательной обратной связи и их практических приложений в космическом приборостроении,Федеральное государственное бюджетное образовательное учреждение высшего образования «Донской государственный технический университет»
Вавилова Виктория Сергеевна,СП-2235.2018.3,Исследование многоканальных систем радиосвязи на основе мультиплексирования по орбитальному угловому моменту,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Уфимский государственный авиационный технический университет"""
Воробьев Евгений Николаевич,СП-4259.2018.3,Методы создания и развития наземной системы пассивного радиолокационного мониторинга воздушного пространства с использованием радиоизлучений сторонних источников космического базирования,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»
Дроздовский Андрей Викторович,СП-646.2018.3,Исследование нелинейных свойств активных резонансных систем с управляемой дисперсией. ,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»
Ежова Ольга Александровна,СП-2606.2018.3," Разработка и исследование многоосевых микромеханических сенсоров угловых скоростей и линейных ускорений, отличающихся более высокими функциональными возможностями",Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Ерофеев Евгений Викторович,СП-2419.2018.3,Разработка радиационно-стойких силовых транзисторов на основе гетероэпитаксиальных структур нитрида галлия для бортовых систем электропитания телекоммуникационных космических аппаратов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Томский государственный университет систем управления и радиоэлектроники"""
Жирнов Андрей Андреевич,СП-1639.2018.3,Создание волоконно-оптической сенсорной системы мониторинга виброакустических воздействий с повышенным пространственным разрешением,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)"""
Иванов Данил Сергеевич,СП-3216.2018.3,Разработка и исследование алгоритмов управления роем наноспутников,"Федеральное государственное учреждение ""Федеральный исследовательский центр Институт прикладной математики им. М.В. Келдыша Российской академии наук"""
Иванюк Алексей Константинович,СП-1100.2018.3,"Разработка модели адаптивных колес и алгоритма автоматизированного управления их параметрами, для улучшения проходимости и маневренности роботизированных комплексов наземного и космического базирования.",Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет»
Коледа Алексей Николаевич,СП-1098.2018.3,Разработка и исследование методов уменьшения влияния ударов и вибрации на микромеханические инерциальные сенсоры,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Колесенков Александр Николаевич,СП-3912.2018.3,Теоретические и прикладные исследования в области построения интеллектуальных киберфизических систем мониторинга чрезвычайных ситуаций на базе кластеров малых космических аппаратов.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный радиотехнический университет имени В.Ф. Уткина"""
Королев Дмитрий Сергеевич,СП-1147.2018.3,Разработка ионно-лучевых методов синтеза дислокационных структур в кремнии и модификации их люминесцентных свойств для коммуникационных устройств нового поколения,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Корсаков Виктор Сергеевич,СП-1801.2018.3,Моделирование структуры и нелинейных эффектов в новых волоконных детекторах и фотонных ИК-световодах на основе нанодефектных кристаллов,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Кубасов Илья Викторович,СП-5016.2018.3,"Разработка высокотемпературного сенсора вибраций, колебаний и пульсаций на основе бидоменного сегнетоэлектрического монокристалла для авиационных и ракетных двигателей, а также систем наземной телеметрии",Федеральное государственное автономное образовательное учреждение высшего образования “Национальный исследовательский технологический университет «МИСиС»
Кузьмин Евгений Всеволодович,СП-2538.2018.3,Повышение робастности адаптивной временной обработки шумоподобных сигналов при наблюдении на фоне мешающих воздействий с неравномерным спектром.,Федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»
Ли Сергей Вадимович,СП-5131.2018.3,Управление электромагнитным излучением с помощью нанофотонных устройств и метаматериалов с топологическим порядком,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Литвинов Андрей Николаевич,СП-3321.2018.3,Исследование тёмных резонансов при возбуждении импульсным излучением с целью улучшения точностных характеристик малогабаритных квантовых стандартов частоты,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Макеев Мстислав Олегович,СП-1931.2018.3,Конструкторско-технологическая оптимизация резонансно-туннельных диодов на основе наноразмерных A3B5 гетероструктур с учетом технологии изготовления и закономерностей деградации в процессе эксплуатации,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)"""
Насонов Сергей Владимирович,СП-810.2018.3,Совместное использование спутниковых и наземных лидарных измерений для исследования оптико-физических характеристик аэрозольных и облачных образований атмосферы.,Федеральное государственное бюджетное учреждение науки Институт оптики атмосферы им. В.Е. Зуева Сибирского отделения Российской академии наук
Невзоров Алексей Алексеевич,СП-3926.2018.3,Совместное использование спутниковых и наземных лидарных измерений для исследования динамики вертикального распределения озона,Федеральное государственное бюджетное учреждение науки Институт оптики атмосферы им. В.Е. Зуева Сибирского отделения Российской академии наук
Никитин Андрей Александрович,СП-3542.2018.3,Разработка новых принципов создания управляемых СВЧ-устройств на основе слоистых структур феррит-диоксид ванадия,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»
Огурцов Евгений Сергеевич,СП-195.2018.3,Разработка и исследование перспективных ретрансляторов связи беспилотных летательных информационных комплексов и стратосферных зондов на базе современных приемопередающих самофазирующихся антенных решеток,"Автономная некоммерческая профессиональная образовательная организация ""Кропоткинский железнодорожный техникум"""
Орлов Павел Евгеньевич,СП-1979.2018.3,Исследование модальной фильтрации в новых конструкциях печатных плат с резервированием,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Томский государственный университет систем управления и радиоэлектроники"""
Пономарев Денис Викторович,СП-3301.2018.3,Исследование и разработка металлодиэлектрических композитных элементов для сверхвысокочастотных слоистых согласованных нагрузок и фотонных структур,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского"""
Ролдугин Дмитрий Сергеевич,СП-3648.2018.3,Обеспечение резервных режимов углового движения спутника с магнитной системой ориентации,"Федеральное государственное учреждение ""Федеральный исследовательский центр Институт прикладной математики им. М.В. Келдыша Российской академии наук"""
Селезнева Мария Сергеевна,СП-4657.2018.3,Разработка алгоритмов комплексирования навигационных систем летательных аппаратов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)"""
Серёгин Сергей Валерьевич,СП-1880.2018.3,Исследование особенностей расщепления изгибного частотного спектра несовершенных резонаторов волновых твердотельных гироскопов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Комсомольский-на-Амуре государственный университет"""
Ситников Николай Николаевич,СП-207.2018.3,Разработка режимов изотермической и электроимпульсной термомеханической обработки слоистых быстрозакалённых аморфно-кристаллических композитов TiNiCu для получения новых эффектов обратимой памяти формы,
Суровцев Роман Сергеевич,СП-122.2018.3,Теоретические и экспериментальные исследования для разработки и создания новых устройств защиты от сверхкоротких импульсов на основе меандровых линий,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Томский государственный университет систем управления и радиоэлектроники"""
Титов Алексей Евгеньевич,СП-3983.2018.3,"Разработка и исследование структурных, схемотехнических и топологических методов повышения стабильности режимов работы СФ блоков систем управления и связи, функционирующих в условиях воздействия дестабилизирующих факторов космического пространства",Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Ткачев Степан Сергеевич,СП-3661.2018.3,Разработка алгоритмов управления относительным и угловым движением спутников в групповом полете с помощью солнечного паруса,"Федеральное государственное учреждение ""Федеральный исследовательский центр Институт прикладной математики им. М.В. Келдыша Российской академии наук"""
Ткаченко Иван Сергеевич,СП-4333.2018.3,Проведение исследований в обеспечение формирования научно-технологического задела для проектирования и конструирования космических мониторинговых систем нового поколения на базе унифицированных платформ малых космических аппаратов,Федеральное государственное автономное образовательное учреждение высшего образования «Самарский национальный исследовательский университет имени академика С.П. Королева»
Тоискин Василий Евгеньевич,СП-4737.2018.3,"Оптимизация канального ресурса радиоцентров мультисервисной сети декаметровой радиосвязи с проключением каналов, обеспечивающей заданную оперативность информационного обмена многопакетными сообщениями","Межрегиональное общественное учреждение ""Институт инженерной физики"""
Убайчин Антон Викторович,СП-3097.2018.3,Разработка бортовой микроволновой радиометрической системы многоприемникового типа на основе модификации нулевого метода для измерений параметров нестационарных радиотепловых процессов с высоким разрешением по времени,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Томский государственный университет систем управления и радиоэлектроники"""
Черкашина Наталья Игоревна,СП-528.2018.3,"Разработка многослойных композиционных покрытий, предназначенных для поддержания теплового режима космической техники",Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»
Чернов Андрей Алексеевич,СП-1516.2018.3,Комплексные исследования трансионосферного распространения сигналов спутниковых навигационных систем в условиях изменчивости среды,Федеральное государственное бюджетное образовательное учреждение высшего образования «Поволжский государственный технологический университет»
Четверик Алина Наилевна,СП-1138.2018.3,Разработка и исследование прецизионного синхронно-синфазного электропривода сканирующих систем на основе многофункционального логического устройства сравнения,Федеральное государственное бюджетное образовательное учреждение высшего образования «Омский государственный технический университет»
Шомина Ольга Владимировна,СП-4675.2018.3,Радиолокационная спутниковая диагностика эвтрофирования водоемов,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр Институт прикладной физики Российской академии наук"""
,,,
Анастасиева Евгения Андреевна,СП-5597.2018.4,Оценка и испытание безопасности материалов для фиксации внутрисуставных остеохондральных элементов при рассекоющем остеохондрите (болезни Кенига) и внутрисуставных переломах,Федеральное государственное бюджетное учреждение «Новосибирский научно-исследовательский институт травматологии и ортопедии им. Я.Л. Цивьяна» Министерства здравоохранения Российской Федерации
Андреев Иван Антонович,СП-4317.2018.4,"Синтез и исследование биологической активности алкалоидов индолизидинового, пирролизидинового рядов и их синтетических аналогов как противовирусных и противоопухолевых препаратов","Федеральное государственное бюджетное учреждение ""Национальный медицинский исследовательский центр детской гематологии, онкологии и иммунологии имени Дмитрия Рогачева"" Министерства здравоохранения Российской Федерации"
Апрятина Кристина Викторовна,СП-3581.2018.4,"Разработка и исследование новых полимерных материалов объемной структуры с гемостатическим, антимикробным и ранозаживляющим действием с целью их применения при острых массивных кровотечениях.   ",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Афонин Григорий Владиславович,СП-847.2018.4,«Адъювантная лучевая терапия в режиме ускоренного фракционирования дозы у больных раком молочной железы I-IIIA стадии».,Федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр радиологии» Министерства здравоохранения Российской Федерации
Ашапкина Мария Сергеевна,СП-2093.2018.4,Разработка системы для автоматизированного контроля качества выполнения лечебной профилактической физкультуры в стационарных и домашних условиях под контролем смартфона в режиме удаленного мониторинга. ,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный радиотехнический университет имени В.Ф. Уткина"""
Бабич Ольга Олеговна,СП-1361.2018.4,Разработка и практическая реализация генно-инженерных технологий получения новых лекарственных кандидатов для таргетной терапии онкологических заболеваний.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кемеровский государственный университет"""
Бабков Денис Александрович,СП-595.2018.4,"Мишень-ориентированный поиск антидиабетических соединений, проявляющих мультитаргетное действие, и их фармакологические свойства","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Волгоградский государственный медицинский университет"" Министерства здравоохранения Российской Федерации"
Баженов Дмитрий Олегович,СП-2836.2018.4,Разработка лабораторных методов оценки цитотоксической активности натуральных киллеров в отношении клеток трофобласта при беременности.,"Федеральное государственное бюджетное научное учреждение «Научно-исследовательский институт акушерства, гинекологии и репродуктологии имени Д.О. Отта»"
Баймуратов Марат Рамильевич,СП-1082.2018.4,Создание новых ингибиторов протеина p37 ортопоксвирусов на основе тетрациклических гамма-сультонов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Самарский государственный технический университет"""
Бардакова Ксения Николаевна,СП-905.2018.4,Разработка основ инжиниринга трехмерных матриксов с использованием лазерных аддитивных технологий для регенерации мягких тканей.,Федеральное государственное учреждение «Федеральный научно-исследовательский центр «Кристаллография и фотоника» Российской академии наук»
Бардонова Людмила Андреевна,СП-2545.2018.4,Исследование влияния провоспалительных цитокинов на метаболизм клеток межпозвонкового диска в аспекте регенеративной терапии,Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский государственный медицинский университет» Министерства здравоохранения Российской Федерации
Белых Евгений Георгиевич,СП-2240.2018.4,Разработка и изучение новых методов интраоперационной визуализации для флуоресцентой навигации в нейроонкохирургии,Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский государственный медицинский университет» Министерства здравоохранения Российской Федерации
Бойко Анастасия Сергеевна,СП-205.2018.4,Антипсихотик-индуцированные метаболические расстройства при шизофрении: изучение механизмов и разработка персонализированной технологии прогноза риска развития,"Федеральное государственное бюджетное научное учреждение ""Томский национальный исследовательский медицинский центр Российской академии наук"""
Болатчиев Альберт Добаевич,СП-858.2018.4,Разработка принципиально новых противомикробных препаратов на основе антимикробных пептидов для лечения широкого круга тяжелых бактериальных инфекций,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ставропольский государственный медицинский университет"" Министерства здравоохранения Российской Федерации"
Бондаренко Семён Максимович,СП-3908.2018.4,Перспективы распространения комаров Aedes и переносимых ими заболеваний на территории России.,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Борисов Василий Ильич,СП-2561.2018.4,Интеллектуальный мультимодальный интерфейс для функциональных исследований головного мозга,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Бычков Максим Леонидович,СП-4316.2018.4,Разработка новой стратегии селективной таргетной терапии глиобластом на поздних стадиях.,Федеральное государственное бюджетное учреждение науки Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук
Вагайцева Ксения Валерьевна,СП-375.2018.4,"Структура неравновесия по сцеплению генов, ассоциированных с когнитивными способностями в популяциях Северной Евразии","Федеральное государственное бюджетное научное учреждение ""Томский национальный исследовательский медицинский центр Российской академии наук"""
Верещагина Ксения Петровна,СП-554.2018.4,"Поиск и выделение новых пептидов и белковых структур, повышающих эффективность холодовой адаптации, у представителей экстремофильной эндемичной фауны амфипод оз. Байкал",Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский государственный университет»
Вишератина Анастасия Константиновна,СП-79.2018.4,Разработка нового лекарственного препарата на основе хиральных гибридных наноструктур для тераностики социально значимых заболеваний,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Вишнякова Полина Александровна,СП-4132.2018.4,Изучение системы контроля качества митохондриального ретикулума в норме и при преэклампсии,"Федеральное государственное бюджетное учреждение ""Национальный медицинский исследовательский центр акушерства, гинекологии и перинатологии имени академика В.И. Кулакова"" Министерства здравоохранения Российской Федерации"
Войтович Юлия Валерьевна,СП-532.2018.4,Ингибирование межбелковых взаимодействий как инновационная стратегия в онкологии,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Волобаев Валентин Павлович,СП-2310.2018.4,Генотоксикологическая проверка гипотезы о фтор и радон связанной этиологии остеосарком с оценкой изменения профилей экспрессии генов репарации ДНК.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кемеровский государственный университет"""
Гаража Яна Борисовна,СП-1024.2018.4,Наружный генитальный эндометриоз: роль экспрессии генов в ранней диагностике и прогнозировании рецидива,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный медико-стоматологический университет имени А.И. Евдокимова"" Министерства здравоохранения Российской Федерации"
Гладышев Андрей Романович,СП-2257.2018.4,"Проектирование, исследование и реализация адаптивного неинвазивного регистратора физиологических сигналов для управления бионическим протезом кисти руки",Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»
Гнеденков Андрей Сергеевич,СП-4917.2018.4,Разработка способов модификации поверхности магниевых сплавов для имплантационной хирургии ,Федеральное государственное бюджетное учреждение науки Институт химии Дальневосточного отделения Российской академии наук
Гомзикова Марина Олеговна,СП-679.2018.4,Разработка препарата на основе искусственных микровезикул стволовых клеток для репрограммирования соматических клеток и стимуляции регенерации,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Гончаров Николай Владимирович,СП-5433.2018.4,Создание тест-системы для детекции хромосомной нестабильности и поиска новых противоопухолевых веществ,Федеральное государственное автономное образовательное учреждение высшего образования «Дальневосточный федеральный университет»
Гончарова Дарья Алексеевна,СП-1772.2018.4,Синтез и исследование наночастиц на основе цинка и меди для создания биоразлагаемых матриксов с антибактериальными свойствами.,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Гордон Константин Борисович,СП-638.2018.4,Метод модулированной по интенсивности пучка протонной терапии при повторном облучении пациентов с интракраниальными опухолями,Федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр радиологии» Министерства здравоохранения Российской Федерации
Горюнов Кирилл Владимирович,СП-145.2018.4,Изучение функционального статуса митохондрий мультипотентных мезенхимальных стромальных клеток из перинатальных источников в условиях патологии больших акушерских синдромов.,"Федеральное государственное бюджетное учреждение ""Национальный медицинский исследовательский центр акушерства, гинекологии и перинатологии имени академика В.И. Кулакова"" Министерства здравоохранения Российской Федерации"
