ФИО,№ гранта,Тема,Организация
Галимов Эрик Михайлович,НШ-6821.2016.5,"Теоретическое и экспериментальное исследование поведения углерода в нестандартных геохимических и космохимических обстановках и объектах, создание новых методов изотопного анализа углерода.",Федеральное государственное бюджетное учреждение науки Ордена Ленина и Ордена Октябрьской революции Институт геохимии и аналитической химии им. В.И. Вернадского Российской академии наук
"Голицын Георгий Сергеевич, Мохов Игорь Иванович",НШ-9719.2016.5,Диагностика и моделирование динамических процессов в атмосфере и глобальных и региональных изменений климата,Федеральное государственное бюджетное учреждение науки Институт физики атмосферы им. А.М. Обухова Российской академии наук
Дегерменджи Андрей Георгиевич,НШ-9249.2016.5,Новые подходы к исследования временной и пространственной динамики потоков биологически активных веществ и биогенных элементов в трофических цепях экосистем разнотипных внутренних водоемов.,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр ""Красноярский научный центр Сибирского отделения Российской академии наук"""
Дымников Валентин Павлович,НШ-9836.2016.5,Декадная изменчивость климатических характеристик в новой версии модели Земной системы ИВМ РАН: отклик в средней атмосфере,Федеральное государственное бюджетное учреждение науки Институт вычислительной математики им. Г.И. Марчука Российской академии наук
Жеребцов Гелий Александрович,НШ-6894.2016.5,Экспериментальное и теоретическое исследование взаимосвязи динамических процессов в нижней и верхней атмосфере Земли,Федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт солнечно-земной физики Сибирского отделения Российской академии наук
Кривовичев Сергей Владимирович,НШ-10005.2016.5,Кристаллохимия и рентгеноструктурный анализ минералов и неорганических соединений,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Кузьмин Михаил Иванович,НШ-9638.2016.5,"Химическая геодинамика эндогенных геологических процессов: источники магм, коровая контаминация и процессы образования вулканических серий пород в континентальных рифтовых системах Центрально-Азиатского складчатого пояса",Федеральное государственное бюджетное учреждение науки Институт геохимии им. А.П. Виноградова Сибирского отделения Российской академии наук
"Куркин Андрей Александрович, Пелиновский Ефим Наумович",НШ-6637.2016.5,Волны большой амплитуды в прибрежной зоне,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"""
Лисицын Александр Петрович,НШ-7474.2016.5,Изучение процессов современного и древнего осадкообразования в морях и океанах,Федеральное государственное бюджетное учреждение науки Институт океанологии им. П.П. Ширшова Российской академии наук
Матвиенко Геннадий Григорьевич,НШ-8199.2016.5,Лазерное зондирование атмосферы и океана,Федеральное государственное бюджетное учреждение науки Институт оптики атмосферы им. В.Е. Зуева Сибирского отделения Российской академии наук
Мельников Владимир Павлович,НШ-9880.2016.5,Физико-геологические основы формирования и распространения криогенных ресурсов высоких широт,Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр Тюменский научный центр Сибирского отделения Российской академии наук
Соболев Николай Владимирович,НШ-6819.2016.5,"Минералогия, петрология и эволюция глубинных зон континентальной литосферы, условия образования алмазов и их месторождений",Федеральное государственное бюджетное учреждение науки Институт геологии и минералогии им. В.С. Соболева Сибирского отделения Российской академии наук
