ФИО,№ гранта,Тема,Организация
Чернышев Игорь Владимирович,НШ-9271.2016.5,"Исследование миграции и аккумулирования радионуклидов в естественных и техногенных системах для решения проблем геоэкологии, рудообразования и хронологии геологических процессов.","Федеральное государственное бюджетное учреждение науки Институт геологии рудных месторождений, петрографии, минералогии и геохимии Российской академии наук"
Александров Юрий Иосифович,НШ-9808.2016.6,Комплексный анализ формирования нового и модификации имеющегося опыта индивидуального и совместного поведения (в т.ч. социально-значимого),Федеральное государственное бюджетное учреждение науки Институт психологии Российской академии наук
Белозеров Виталий Семенович,НШ-9300.2016.6,Иностранные мигранты в России: стратегии и практики интеграции и адаптации в региональные сообщества,"Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Кавказский федеральный университет"""
Бордовский Геннадий Алексеевич,НШ-7194.2016.6,Разработка эргатической модели обеспечения комплексной безопасности субъектов образовательной деятельности,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный педагогический университет им. А. И. Герцена"""
Вертакова Юлия Владимировна,НШ-9726.2016.6,Реализация государственной экономической политики посредством развития инструментов стратегического и индикативного планирования,Федеральное государственное бюджетное образовательное учреждение высшего образования «Юго-Западный государственный университет»
Деревянко Анатолий Пантелеевич,НШ-9964.2016.6,Динамика каменных индустрий в палеолите Евразии,Федеральное государственное бюджетное учреждение науки Институт археологии и этнографии Сибирского отделения Российской академии наук
Касавин Илья Теодорович,НШ-8798.2016.6,"Философия науки в социальном измерении: проблематика, истоки, перспективы",Федеральное государственное бюджетное учреждение науки Институт философии Российской академии наук
Ситдиков Айрат Габитович,НШ-7170.2016.6,Процессы урбанизации и градостроительства в Поволжье (X-XVI вв.).  ,"Государственное научное бюджетное учреждение ""Академия наук Республики Татарстан"""
Юнгблюд Валерий Теодорович,НШ-9803.2016.6,Россия в конструкциях либерального миропорядка и внешнеполитической практике США в 1933-2013 гг.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Вятский государственный университет»"
Воробьев Андрей Иванович,НШ-8254.2016.7,"Интегрированная, интеллектуальная система взаимодействия врач-пациент на базе опыта  Ведущей научной школы в области гематологии.",Федеральное государственное бюджетное учреждение науки Центр теоретических проблем физико-химической фармакологии Российской академии наук
Животовский Борис Давидович,НШ-7082.2016.7,"Роль митохондриальных путей апоптоза, активируемых ДНК-повреждающими агентами, в снижении химиорезистентности опухолей",Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Куликов Владимир Павлович,НШ-9663.2016.7,Механизмы нейропротекторной эффективности гиперкапнической гипоксии и разработка методов диагностики и лечения нарушений мозгового кровообращения,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный медицинский университет» Министерства здравоохранения Российской Федерации
Малышев Игорь Юрьевич,НШ-9835.2016.7,М3 фенотип переключения у макрофагов и разработка на его основе клеточной биотехнологии репрограммирования иммунного ответа для терапии рака простаты  у мышей и человека,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный медико-стоматологический университет имени А.И. Евдокимова"" Министерства здравоохранения Российской Федерации"
Новицкий Вячеслав Викторович,НШ-7906.2016.7,Роль галектинов в патогенезе опухолевых заболеваний крови и других локализаций,Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный медицинский университет» Министерства здравоохранения Российской Федерации
Орехов Александр Николаевич,НШ-6995.2016.7,Использование трансгенных клеток для изучени,"Федеральное государственное бюджетное научное учреждение ""Научно-исследовательский институт общей патологии и патофизиологии"""
Поспелова Татьяна Ивановна,НШ-10240.2016.7,"Роль молекулярно-генетических факторов в формировании предрасположенности к возникновению, опухолевой прогрессии, развитию осложнений терапии опухолевых заболеваний системы крови.",Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный медицинский университет» Министерства здравоохранения Российской Федерации
Руденко Лариса Георгиевна,НШ-9646.2016.7,Конструирование векторной вакцины на основе холодоадаптированного вируса гриппа для защиты от бактериальных инфекций,"Федеральное государственное бюджетное научное учреждение ""Институт экспериментальной медицины"""
Савельева Галина Михайловна,НШ-7569.2016.7,Ранние преждевременные роды. Высокие технологии в снижении перинатальной смертности и улучшении здоровья будущих поколений.,"Федеральное государственное автономное образовательное учреждение высшего образования ""Российский национальный исследовательский медицинский университет имени Н.И. Пирогова"" Министерства здравоохранения Российской Федерации"
Салмина Алла Борисовна,НШ-10241.2016.7,Молекулярные механизмы инсулинорезистентности в ткани головного мозга при хронической нейродегенерации,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого"" Министерства здравоохранения Российской Федерации"
Алпатов Борис Алексеевич,НШ-7116.2016.8,Методы и алгоритмы обработки и анализа изображений в бортовых системах технического зрения,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный радиотехнический университет имени В.Ф. Уткина"""
"Асеев Александр Леонидович, Латышев Александр Васильевич",НШ-10211.2016.8,Атомные процессы на поверхности полупроводников и электронные явления в литографически наноструктурированных полупроводниковых и металлических системах ,Федеральное государственное бюджетное учреждение науки Институт физики полупроводников им. А.В. Ржанова Сибирского отделения Российской академии наук
Баженов Валентин Георгиевич,НШ-6944.2016.8,"Динамика, прочность и ресурс аппаратов и установок ядерной техники",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Белов Николай Александрович,НШ-9899.2016.8,"Создание научных принципов легирования  алюминиевых сплавов нового поколения на основе многофазных эвтектик, упрочняемых наночастицами фазы L12 без использования закалки",Федеральное государственное автономное образовательное учреждение высшего образования “Национальный исследовательский технологический университет «МИСиС»
"Бобцов Алексей Алексеевич, Никифоров Владимир Олегович",НШ-9281.2016.8,"Методы адаптивного и робастного управления нелинейными неопределенными динамическими системами в условиях возмущающих воздействий, запаздывания и нестационарной окружающей среды",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
"Боев Сергей Федотович, Рахманов Александр Алексеевич",НШ-6831.2016.8,Построение моделей и разработка методов управления созданием высокоинформативных унифицированных радиолокационных систем дальнего обнаружения с учетом инженерно-технических особенностей компонентов этих систем.,Акционерное общество «РТИ»
Валиев Руслан Зуфарович,НШ-7996.2016.8,Исследование и разработка наноструктурных проводниковых материалов на основе меди и алюминия с повышенной прочностью и электропроводностью.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Уфимский государственный авиационный технический университет"""
Григорьев Сергей Николаевич,НШ-9854.2016.8,Разработка и создание осевого режущего инструмента инновационной  конструкции для высокоэффективной обработки труднообрабатываемых материалов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технологический университет ""СТАНКИН"""
Иванчина Эмилия Дмитриевна,НШ-7581.2016.8,Разработка научных основ создания технологий приготовления моторных топлив на основе учета состава сырья и активности катализатора методом математического моделирования нестационарных каталитических процессов глубокой переработки  нефти,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Исмагилов Флюр Рашитович,НШ-6858.2016.8,"Фундаментальные исследования электромагнитных и тепловых полей высокооборотных электромеханических преобразователей энергии с учетом требований прочности, с целью их многомерной оптимизации","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Уфимский государственный авиационный технический университет"""
Каблов Евгений Николаевич,НШ-9831.2016.8,"Разработка принципов создания жаропрочных материалов, получаемых методом селективного лазерного сплавления, на примере интерметаллидных сплавов с карбидным упрочнением системы Ni-Al-Ta-C ","Федеральное государственное унитарное предприятие ""Всероссийский научно-исследовательский институт авиационных материалов"" Национального исследовательского центра ""Курчатовский институт"""
Кайбышев Рустам Оскарович,НШ-8446.2016.8,"Механизмы формирования структуры в алюминиевых и медных сплавах, упрочненных наночастицами с когерентными границами, в процессе интенсивной пластической деформации ",Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»
Кузнецов Гений Владимирович,НШ-7538.2016.8,"Физическое и математическое моделирование тепловых режимов объектов теплоснабжения, работающих при использовании систем лучистого отопления для локального нагрева рабочих зон в крупногабаритных производственных помещениях",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Лаптев Анатолий Григорьевич,НШ-9771.2016.8,Математические модели и импортозамещающие модернизации аппаратов разделения смесей и очистки газов и жидкостей в нефтехимическом комплексе и энергетике,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный энергетический университет"""
Маркович Дмитрий Маркович,НШ-10179.2016.8,Турбулентность и волны в многофазных системах. Управление. Моделирование. Диагностика.,Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук
Окс Ефим Михайлович,НШ-6700.2016.8,Электронно - лучевые и ионно-пучковые методы модификации диэлектрических материалов: полимеров и керамик.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Томский государственный университет систем управления и радиоэлектроники"""
